n_arms,n_steps,algorithm,environment_seed,final_avg_reward,total_regret
10,100,epsgreedy const,20000,0.8,9.591733185676375
10,100,epsgreedy const,20001,0.76,25.88867133646554
10,100,epsgreedy const,20002,0.8,15.099055553641696
10,100,epsgreedy const,20003,0.61,21.87851301509709
10,100,epsgreedy const,20004,0.64,17.02264069648738
10,100,epsgreedy const,20005,0.89,11.410000989913176
10,100,epsgreedy const,20006,0.79,7.17440677293561
10,100,epsgreedy const,20007,0.92,4.253374949327226
10,100,epsgreedy const,20008,0.89,7.151763013826848
10,100,epsgreedy const,20009,0.85,5.523004530334926
10,100,epsgreedy const,20010,0.87,8.977482372617352
10,100,epsgreedy const,20011,0.51,36.22787029505378
10,100,epsgreedy const,20012,0.47,45.22460519048751
10,100,epsgreedy const,20013,0.41,32.83445975212158
10,100,epsgreedy const,20014,0.86,11.166654442985624
10,100,epsgreedy const,20015,0.76,16.326886634979783
10,100,epsgreedy const,20016,0.88,10.941814205511637
10,100,epsgreedy const,20017,0.77,19.871491223497717
10,100,epsgreedy const,20018,0.71,17.492108823594698
10,100,epsgreedy const,20019,0.73,11.204112244656425
10,100,epsgreedy const,20020,0.86,4.45833720292768
10,100,epsgreedy const,20021,0.82,9.36080566023979
10,100,epsgreedy const,20022,0.74,6.13042214766287
10,100,epsgreedy const,20023,0.84,7.032060030602195
10,100,epsgreedy const,20024,0.86,7.2058251947017595
10,100,epsgreedy const,20025,0.69,6.762655642480199
10,100,epsgreedy const,20026,0.79,13.675144687555772
10,100,epsgreedy const,20027,0.43,5.6718816019898135
10,100,epsgreedy const,20028,0.71,28.96227148408375
10,100,epsgreedy const,20029,0.92,6.935345199970619
10,100,epsgreedy optimistic decay=0.90,20000,0.7,15.111997272488678
10,100,epsgreedy optimistic decay=0.90,20001,0.88,8.676890649536082
10,100,epsgreedy optimistic decay=0.90,20002,0.89,8.215368147216648
10,100,epsgreedy optimistic decay=0.90,20003,0.56,28.552091057383993
10,100,epsgreedy optimistic decay=0.90,20004,0.73,4.6181159431333665
10,100,epsgreedy optimistic decay=0.90,20005,0.91,8.838572356514481
10,100,epsgreedy optimistic decay=0.90,20006,0.53,35.128099160152
10,100,epsgreedy optimistic decay=0.90,20007,0.91,8.201327607169349
10,100,epsgreedy optimistic decay=0.90,20008,0.83,11.590314173959175
10,100,epsgreedy optimistic decay=0.90,20009,0.85,6.488955039009188
10,100,epsgreedy optimistic decay=0.90,20010,0.9,7.243623906437091
10,100,epsgreedy optimistic decay=0.90,20011,0.63,28.20143600556681
10,100,epsgreedy optimistic decay=0.90,20012,0.91,9.547694586611806
10,100,epsgreedy optimistic decay=0.90,20013,0.54,17.307651378543092
10,100,epsgreedy optimistic decay=0.90,20014,0.89,8.530111211399939
10,100,epsgreedy optimistic decay=0.90,20015,0.85,7.268888618703986
10,100,epsgreedy optimistic decay=0.90,20016,0.89,6.399725570398882
10,100,epsgreedy optimistic decay=0.90,20017,0.9,6.3855707810760585
10,100,epsgreedy optimistic decay=0.90,20018,0.83,12.793997786860102
10,100,epsgreedy optimistic decay=0.90,20019,0.78,8.321668476691919
10,100,epsgreedy optimistic decay=0.90,20020,0.85,6.490854804673118
10,100,epsgreedy optimistic decay=0.90,20021,0.84,7.75799393289509
10,100,epsgreedy optimistic decay=0.90,20022,0.7,10.644099370524739
10,100,epsgreedy optimistic decay=0.90,20023,0.87,7.997068563795524
10,100,epsgreedy optimistic decay=0.90,20024,0.87,8.218633281640598
10,100,epsgreedy optimistic decay=0.90,20025,0.7,5.750312269907801
10,100,epsgreedy optimistic decay=0.90,20026,0.86,5.581010670399935
10,100,epsgreedy optimistic decay=0.90,20027,0.27,22.729586873972064
10,100,epsgreedy optimistic decay=0.90,20028,0.9,7.564394986635206
10,100,epsgreedy optimistic decay=0.90,20029,0.9,8.207578287119695
10,100,"thompson Beta(5,5)",20000,0.64,20.593612731008285
10,100,"thompson Beta(5,5)",20001,0.84,13.39702668135255
10,100,"thompson Beta(5,5)",20002,0.89,6.24038410713472
10,100,"thompson Beta(5,5)",20003,0.72,14.188122813427766
10,100,"thompson Beta(5,5)",20004,0.72,8.02381196732924
10,100,"thompson Beta(5,5)",20005,0.83,10.587804537535654
10,100,"thompson Beta(5,5)",20006,0.63,22.173983285746733
10,100,"thompson Beta(5,5)",20007,0.85,19.678676685751995
10,100,"thompson Beta(5,5)",20008,0.77,19.42144570763574
10,100,"thompson Beta(5,5)",20009,0.72,21.4628448346575
10,100,"thompson Beta(5,5)",20010,0.84,13.286573017926614
10,100,"thompson Beta(5,5)",20011,0.69,15.557297753421324
10,100,"thompson Beta(5,5)",20012,0.79,18.26597184292495
10,100,"thompson Beta(5,5)",20013,0.56,22.592825328311154
10,100,"thompson Beta(5,5)",20014,0.79,17.628606767401344
10,100,"thompson Beta(5,5)",20015,0.81,14.339194563694278
10,100,"thompson Beta(5,5)",20016,0.83,12.253160400042763
10,100,"thompson Beta(5,5)",20017,0.87,10.214860479817157
10,100,"thompson Beta(5,5)",20018,0.73,18.089145623273446
10,100,"thompson Beta(5,5)",20019,0.58,19.941882407262693
10,100,"thompson Beta(5,5)",20020,0.85,9.2919170841
10,100,"thompson Beta(5,5)",20021,0.68,18.852789476280858
10,100,"thompson Beta(5,5)",20022,0.65,14.005484191053654
10,100,"thompson Beta(5,5)",20023,0.88,7.505262689492778
10,100,"thompson Beta(5,5)",20024,0.79,16.199657949022342
10,100,"thompson Beta(5,5)",20025,0.53,22.307753005933197
10,100,"thompson Beta(5,5)",20026,0.82,10.13350676449925
10,100,"thompson Beta(5,5)",20027,0.42,12.969000557983168
10,100,"thompson Beta(5,5)",20028,0.8,21.454533669958977
10,100,"thompson Beta(5,5)",20029,0.75,19.346859903804056
10,100,ucb(c=0.003),20000,0.81,5.823140906039869
10,100,ucb(c=0.003),20001,0.89,6.54155032774616
10,100,ucb(c=0.003),20002,0.77,18.797904824623387
10,100,ucb(c=0.003),20003,0.58,28.099934694201828
10,100,ucb(c=0.003),20004,0.68,11.472749934830096
10,100,ucb(c=0.003),20005,0.92,8.896367454564503
10,100,ucb(c=0.003),20006,0.74,17.034695210622054
10,100,ucb(c=0.003),20007,0.91,11.102982464794557
10,100,ucb(c=0.003),20008,0.81,14.075494202134502
10,100,ucb(c=0.003),20009,0.85,9.69922353342077
10,100,ucb(c=0.003),20010,0.83,12.087147561790047
10,100,ucb(c=0.003),20011,0.78,7.456487544334587
10,100,ucb(c=0.003),20012,0.9,7.23729446598508
10,100,ucb(c=0.003),20013,0.71,4.279532811756538
10,100,ucb(c=0.003),20014,0.89,11.116270186708352
10,100,ucb(c=0.003),20015,0.81,13.078876026612718
10,100,ucb(c=0.003),20016,0.89,7.463312176860086
10,100,ucb(c=0.003),20017,0.69,26.998970867011273
10,100,ucb(c=0.003),20018,0.79,10.87486689550463
10,100,ucb(c=0.003),20019,0.79,7.293924677581455
10,100,ucb(c=0.003),20020,0.86,9.966175253351564
10,100,ucb(c=0.003),20021,0.81,9.809850112784751
10,100,ucb(c=0.003),20022,0.74,6.258467239186009
10,100,ucb(c=0.003),20023,0.87,7.44097714681944
10,100,ucb(c=0.003),20024,0.87,6.168698499572569
10,100,ucb(c=0.003),20025,0.68,6.703198587412206
10,100,ucb(c=0.003),20026,0.86,4.447384442734833
10,100,ucb(c=0.003),20027,0.46,4.135748825872705
10,100,ucb(c=0.003),20028,0.83,17.956856482113
10,100,ucb(c=0.003),20029,0.9,8.02091636476824
10,1000,epsgreedy const,20000,0.838,64.82567195183013
10,1000,epsgreedy const,20001,0.889,76.47546930027076
10,1000,epsgreedy const,20002,0.903,54.250834675699764
10,1000,epsgreedy const,20003,0.78,60.48173637086691
10,1000,epsgreedy const,20004,0.743,55.682334347816756
10,1000,epsgreedy const,20005,0.953,46.120517727196145
10,1000,epsgreedy const,20006,0.845,56.911645093453295
10,1000,epsgreedy const,20007,0.944,39.632933308551756
10,1000,epsgreedy const,20008,0.902,37.07725539907306
10,1000,epsgreedy const,20009,0.861,63.30117987732025
10,1000,epsgreedy const,20010,0.919,55.01225429154624
10,1000,epsgreedy const,20011,0.794,90.25459165634143
10,1000,epsgreedy const,20012,0.888,91.22069282197651
10,1000,epsgreedy const,20013,0.719,69.97461176056703
10,1000,epsgreedy const,20014,0.943,47.17434417146302
10,1000,epsgreedy const,20015,0.84,53.33300666874291
10,1000,epsgreedy const,20016,0.921,49.009344285537544
10,1000,epsgreedy const,20017,0.916,55.65000365765989
10,1000,epsgreedy const,20018,0.754,117.9458823881836
10,1000,epsgreedy const,20019,0.794,48.88281484789195
10,1000,epsgreedy const,20020,0.9,40.228909551999365
10,1000,epsgreedy const,20021,0.844,76.67307512819357
10,1000,epsgreedy const,20022,0.728,42.12669386400008
10,1000,epsgreedy const,20023,0.919,37.51845828101976
10,1000,epsgreedy const,20024,0.894,50.85430161129071
10,1000,epsgreedy const,20025,0.644,33.05086637645438
10,1000,epsgreedy const,20026,0.85,94.9348401886185
10,1000,epsgreedy const,20027,0.492,28.72201980471479
10,1000,epsgreedy const,20028,0.92,71.51034574150533
10,1000,epsgreedy const,20029,0.919,57.18933115892697
10,1000,epsgreedy optimistic decay=0.90,20000,0.828,75.57353681229435
10,1000,epsgreedy optimistic decay=0.90,20001,0.927,32.91925781585078
10,1000,epsgreedy optimistic decay=0.90,20002,0.948,8.215368147216648
10,1000,epsgreedy optimistic decay=0.90,20003,0.588,268.5173352185864
10,1000,epsgreedy optimistic decay=0.90,20004,0.767,24.58696679952003
10,1000,epsgreedy optimistic decay=0.90,20005,0.989,8.838572356514481
10,1000,epsgreedy optimistic decay=0.90,20006,0.567,333.48287243421476
10,1000,epsgreedy optimistic decay=0.90,20007,0.981,8.201327607169349
10,1000,epsgreedy optimistic decay=0.90,20008,0.899,33.05831747683031
10,1000,epsgreedy optimistic decay=0.90,20009,0.919,6.488955039009188
10,1000,epsgreedy optimistic decay=0.90,20010,0.975,7.243623906437091
10,1000,epsgreedy optimistic decay=0.90,20011,0.657,240.96583790685156
10,1000,epsgreedy optimistic decay=0.90,20012,0.98,9.547694586611806
10,1000,epsgreedy optimistic decay=0.90,20013,0.645,150.72718452884354
10,1000,epsgreedy optimistic decay=0.90,20014,0.98,8.530111211399939
10,1000,epsgreedy optimistic decay=0.90,20015,0.889,7.763754719538151
10,1000,epsgreedy optimistic decay=0.90,20016,0.964,6.399725570398882
10,1000,epsgreedy optimistic decay=0.90,20017,0.972,6.3855707810760585
10,1000,epsgreedy optimistic decay=0.90,20018,0.865,12.793997786860102
10,1000,epsgreedy optimistic decay=0.90,20019,0.836,8.321668476691919
10,1000,epsgreedy optimistic decay=0.90,20020,0.938,6.490854804673118
10,1000,epsgreedy optimistic decay=0.90,20021,0.913,7.75799393289509
10,1000,epsgreedy optimistic decay=0.90,20022,0.703,70.1630193781779
10,1000,epsgreedy optimistic decay=0.90,20023,0.946,18.30365759678192
10,1000,epsgreedy optimistic decay=0.90,20024,0.932,8.218633281640598
10,1000,epsgreedy optimistic decay=0.90,20025,0.674,5.750312269907801
10,1000,epsgreedy optimistic decay=0.90,20026,0.93,5.581010670399935
10,1000,epsgreedy optimistic decay=0.90,20027,0.356,156.87348085764535
10,1000,epsgreedy optimistic decay=0.90,20028,0.975,7.564394986635206
10,1000,epsgreedy optimistic decay=0.90,20029,0.969,8.207578287119695
10,1000,"thompson Beta(5,5)",20000,0.88,20.94355371301978
10,1000,"thompson Beta(5,5)",20001,0.923,37.612457884149116
10,1000,"thompson Beta(5,5)",20002,0.948,6.52519193642807
10,1000,"thompson Beta(5,5)",20003,0.822,22.48549564055881
10,1000,"thompson Beta(5,5)",20004,0.751,34.40619259402881
10,1000,"thompson Beta(5,5)",20005,0.98,10.668760550112225
10,1000,"thompson Beta(5,5)",20006,0.883,22.173983285746733
10,1000,"thompson Beta(5,5)",20007,0.907,87.7222503293634
10,1000,"thompson Beta(5,5)",20008,0.909,26.35123062047665
10,1000,"thompson Beta(5,5)",20009,0.906,21.4628448346575
10,1000,"thompson Beta(5,5)",20010,0.968,15.14423668169469
10,1000,"thompson Beta(5,5)",20011,0.863,18.20872141180083
10,1000,"thompson Beta(5,5)",20012,0.958,29.91662836635995
10,1000,"thompson Beta(5,5)",20013,0.759,30.966755511407868
10,1000,"thompson Beta(5,5)",20014,0.97,18.036225618562355
10,1000,"thompson Beta(5,5)",20015,0.878,19.388319337679462
10,1000,"thompson Beta(5,5)",20016,0.958,12.630251911157227
10,1000,"thompson Beta(5,5)",20017,0.969,10.214860479817157
10,1000,"thompson Beta(5,5)",20018,0.84,34.06232997415182
10,1000,"thompson Beta(5,5)",20019,0.815,20.296683737040272
10,1000,"thompson Beta(5,5)",20020,0.937,10.183243637839588
10,1000,"thompson Beta(5,5)",20021,0.897,18.852789476280858
10,1000,"thompson Beta(5,5)",20022,0.724,51.055021693968826
10,1000,"thompson Beta(5,5)",20023,0.947,17.811851722479215
10,1000,"thompson Beta(5,5)",20024,0.924,16.199657949022342
10,1000,"thompson Beta(5,5)",20025,0.636,47.350348517842676
10,1000,"thompson Beta(5,5)",20026,0.925,10.591361553837373
10,1000,"thompson Beta(5,5)",20027,0.474,46.559986863142036
10,1000,"thompson Beta(5,5)",20028,0.965,21.454533669958977
