n_arms,n_steps,algorithm,final_avg_reward,final_avg_reward_std,total_regret,total_regret_std
10,100,epsgreedy const,0.752667,0.142537,14.381847,10.317366
10,100,epsgreedy optimistic decay=0.90,0.789000,0.152097,11.278788,7.607837
10,100,"thompson Beta(5,5)",0.742333,0.115182,15.666800,4.884275
10,100,ucb(c=0.003),0.797333,0.104053,10.677967,5.975227
10,1000,epsgreedy const,0.841867,0.102134,58.867532,20.298424
10,1000,epsgreedy optimistic decay=0.90,0.850400,0.159120,51.782421,87.733448
10,1000,"thompson Beta(5,5)",0.875667,0.112688,25.287421,16.412406
10,1000,ucb(c=0.003),0.857133,0.123794,44.687267,70.591773
10,10000,epsgreedy const,0.856603,0.101331,444.845873,95.391931
10,10000,epsgreedy optimistic decay=0.90,0.857250,0.159378,434.516035,889.942165
10,10000,"thompson Beta(5,5)",0.896507,0.107884,44.939844,47.272153
10,10000,ucb(c=0.003),0.863470,0.127000,374.924502,725.700076
100,100,epsgreedy const,0.730000,0.133649,24.672962,12.157706
100,100,epsgreedy optimistic decay=0.90,0.544333,0.048614,44.398142,2.882119
100,100,"thompson Beta(5,5)",0.565333,0.061573,42.510578,3.833142
100,100,ucb(c=0.003),0.491333,0.054122,49.122372,2.212689
100,1000,epsgreedy const,0.873833,0.028661,117.270763,32.176242
100,1000,epsgreedy optimistic decay=0.90,0.895633,0.004958,95.751012,6.019729
100,1000,"thompson Beta(5,5)",0.885100,0.020990,108.115049,22.934032
100,1000,ucb(c=0.003),0.894500,0.009123,96.231877,9.510191
100,10000,epsgreedy const,0.930370,0.008614,611.941262,68.105389
100,10000,epsgreedy optimistic decay=0.90,0.980727,0.007792,110.180619,38.454616
100,10000,"thompson Beta(5,5)",0.966433,0.014343,258.853859,137.016635
100,10000,ucb(c=0.003),0.979787,0.012281,118.943304,83.256591
1000,100,epsgreedy const,0.720000,0.134164,27.013391,12.800801
1000,100,epsgreedy optimistic decay=0.90,0.506667,0.051417,48.720030,3.067790
1000,100,"thompson Beta(5,5)",0.498667,0.057219,49.704453,3.265642
1000,100,ucb(c=0.003),0.491333,0.054122,49.853743,2.155860
1000,1000,epsgreedy const,0.866367,0.029682,134.430338,29.966096
1000,1000,epsgreedy optimistic decay=0.90,0.549100,0.015142,449.308771,9.399063
1000,1000,"thompson Beta(5,5)",0.587233,0.029738,412.640970,25.645102
1000,1000,ucb(c=0.003),0.500933,0.016103,497.578014,7.285227
1000,10000,epsgreedy const,0.912813,0.004221,867.604276,42.627604
1000,10000,epsgreedy optimistic decay=0.90,0.899547,0.000666,991.156745,23.530295
1000,10000,"thompson Beta(5,5)",0.933840,0.013225,655.355677,136.336255
1000,10000,ucb(c=0.003),0.899627,0.000655,992.782506,20.631933
