n_arms,n_steps,optimistic_init,variant,final_avg_reward,final_avg_reward_std,total_regret,total_regret_std
10,100,1,constant,0.745000,0.158196,15.745682,10.323167
10,100,1,decay=0.9,0.789000,0.152097,11.278788,7.607837
10,100,1,decay=0.95,0.770000,0.173305,13.110111,10.614692
10,100,1,decay=0.99,0.761000,0.149467,14.079363,8.643912
10,100,1,decay=0.999,0.742667,0.166670,15.865285,10.256792
10,100,1,decay=0.9999,0.745667,0.157932,15.729250,10.316172
10,100,1,decay=0.99999,0.745000,0.158196,15.745682,10.323167
10,100,0,constant,0.752667,0.142537,14.381847,10.317366
10,100,0,decay=0.9,0.718000,0.210441,18.651657,19.553903
10,100,0,decay=0.95,0.735000,0.197933,16.914375,17.585169
10,100,0,decay=0.99,0.753333,0.166740,15.076516,12.623301
10,100,0,decay=0.999,0.754333,0.141292,14.510088,9.406139
10,100,0,decay=0.9999,0.754000,0.141485,14.315214,10.281726
10,100,0,decay=0.99999,0.752667,0.142537,14.381847,10.317366
10,1000,1,constant,0.842800,0.110434,59.093692,25.572070
10,1000,1,decay=0.9,0.850400,0.159120,51.782421,87.733448
10,1000,1,decay=0.95,0.839533,0.175751,61.874492,114.317789
10,1000,1,decay=0.99,0.860700,0.133829,41.414156,66.047946
10,1000,1,decay=0.999,0.854600,0.117166,47.379134,23.371297
10,1000,1,decay=0.9999,0.843200,0.110515,57.894858,23.698857
10,1000,1,decay=0.99999,0.843433,0.110894,58.993907,25.637235
10,1000,0,constant,0.841867,0.102134,58.867532,20.298424
10,1000,0,decay=0.9,0.725400,0.220538,176.728951,201.657575
10,1000,0,decay=0.95,0.753767,0.206031,147.983351,185.100893
10,1000,0,decay=0.99,0.833233,0.166438,69.267485,105.130278
10,1000,0,decay=0.999,0.850400,0.113363,51.069113,23.609944
10,1000,0,decay=0.9999,0.840700,0.103044,59.292835,23.613568
10,1000,0,decay=0.99999,0.841633,0.102137,58.698848,20.160533
10,10000,1,constant,0.856097,0.102895,448.548047,92.026443
10,10000,1,decay=0.9,0.857250,0.159378,434.516035,889.942165
10,10000,1,decay=0.95,0.848100,0.175442,525.250504,1163.632001
10,10000,1,decay=0.99,0.872090,0.134685,287.038898,679.902279
10,10000,1,decay=0.999,0.893623,0.108472,76.113827,51.823611
10,10000,1,decay=0.9999,0.870593,0.106292,303.753564,76.879358
10,10000,1,decay=0.99999,0.858043,0.103220,429.481422,88.739337
10,10000,0,constant,0.856603,0.101331,444.845873,95.391931
10,10000,0,decay=0.9,0.725283,0.220372,1757.501893,2023.157247
10,10000,0,decay=0.95,0.755243,0.206686,1458.471106,1864.095217
10,10000,0,decay=0.99,0.845197,0.167778,561.857266,1077.181146
10,10000,0,decay=0.999,0.890000,0.113982,111.797499,152.423053
10,10000,0,decay=0.9999,0.869880,0.103843,315.424595,128.585516
10,10000,0,decay=0.99999,0.858123,0.101432,429.401086,97.343945
100,100,1,constant,0.546333,0.046645,44.833893,2.954874
100,100,1,decay=0.9,0.544333,0.048614,44.398142,2.882119
100,100,1,decay=0.95,0.543667,0.045749,44.499769,2.664448
100,100,1,decay=0.99,0.542000,0.048523,44.937166,3.022485
100,100,1,decay=0.999,0.546000,0.047822,44.784072,3.019614
100,100,1,decay=0.9999,0.546333,0.046645,44.785712,2.946583
100,100,1,decay=0.99999,0.546333,0.046645,44.833893,2.954874
100,100,0,constant,0.730000,0.133649,24.672962,12.157706
100,100,0,decay=0.9,0.643667,0.220509,33.328791,21.016313
100,100,0,decay=0.95,0.697667,0.205001,28.098705,19.359985
100,100,0,decay=0.99,0.730667,0.170556,25.083936,15.156480
100,100,0,decay=0.999,0.723333,0.163039,25.488699,15.224546
100,100,0,decay=0.9999,0.725667,0.147781,25.109602,13.619430
100,100,0,decay=0.99999,0.730000,0.133649,24.672962,12.157706
100,1000,1,constant,0.850500,0.011298,142.956187,9.768126
100,1000,1,decay=0.9,0.895633,0.004958,95.751012,6.019729
100,1000,1,decay=0.95,0.895233,0.005418,96.067625,6.633939
