family,variant,environment_seed,total_regret,final_reward
epsilon-greedy,"zero-init, constant eps=0.01",10000,230.8160349831596,0.8765
epsilon-greedy,"zero-init, constant eps=0.01",10001,246.7896673163251,0.8765
epsilon-greedy,"zero-init, constant eps=0.01",10002,524.2132750572654,0.7295
epsilon-greedy,"zero-init, constant eps=0.01",10003,91.09546769175093,0.9555
epsilon-greedy,"zero-init, constant eps=0.01",10004,203.28670109240244,0.8485
epsilon-greedy,"zero-init, constant eps=0.01",10005,520.0167033158143,0.7305
epsilon-greedy,"zero-init, constant eps=0.01",10006,142.6159589516754,0.925
epsilon-greedy,"zero-init, constant eps=0.01",10007,213.5284996984594,0.8815
epsilon-greedy,"zero-init, constant eps=0.01",10008,89.71014324353226,0.921
epsilon-greedy,"zero-init, constant eps=0.01",10009,493.5881215465408,0.7355
epsilon-greedy,"zero-init, constant eps=0.01",10010,57.507404408940204,0.97
epsilon-greedy,"zero-init, constant eps=0.01",10011,134.7973109354272,0.9225
epsilon-greedy,"zero-init, constant eps=0.01",10012,22.693794012614163,0.9865
epsilon-greedy,"zero-init, constant eps=0.01",10013,201.10575997091783,0.9055
epsilon-greedy,"zero-init, constant eps=0.01",10014,136.5519266645902,0.939
epsilon-greedy,"zero-init, constant eps=0.01",10015,368.46816333981667,0.7895
epsilon-greedy,"zero-init, constant eps=0.01",10016,287.96910813335,0.849
epsilon-greedy,"zero-init, constant eps=0.01",10017,313.55303472488447,0.8275
epsilon-greedy,"zero-init, constant eps=0.01",10018,192.08607939803844,0.9045
epsilon-greedy,"zero-init, constant eps=0.01",10019,380.2465078113902,0.8035
epsilon-greedy,"zero-init, constant eps=0.01",10020,98.36923989395764,0.943
epsilon-greedy,"zero-init, constant eps=0.01",10021,267.4630365349491,0.8645
epsilon-greedy,"zero-init, constant eps=0.01",10022,325.9701891418719,0.8245
epsilon-greedy,"zero-init, constant eps=0.01",10023,365.98352041728884,0.8085
epsilon-greedy,"zero-init, constant eps=0.01",10024,49.03903628243618,0.9655
epsilon-greedy,"zero-init, constant eps=0.01",10025,523.9699946081593,0.7625
epsilon-greedy,"zero-init, constant eps=0.01",10026,171.46429133928564,0.912
epsilon-greedy,"zero-init, constant eps=0.01",10027,290.24839777108315,0.8595
epsilon-greedy,"zero-init, constant eps=0.01",10028,232.33485034774523,0.8785
epsilon-greedy,"zero-init, constant eps=0.01",10029,292.42868123493145,0.859
epsilon-greedy,"zero-init, constant eps=0.01",10030,212.1519733242494,0.882
epsilon-greedy,"zero-init, constant eps=0.01",10031,326.1119627856449,0.8295
epsilon-greedy,"zero-init, constant eps=0.01",10032,145.24524791704965,0.9335
epsilon-greedy,"zero-init, constant eps=0.01",10033,417.601631981283,0.785
epsilon-greedy,"zero-init, constant eps=0.01",10034,165.1722172826859,0.8895
epsilon-greedy,"zero-init, constant eps=0.01",10035,47.11556902302551,0.974
epsilon-greedy,"zero-init, constant eps=0.01",10036,309.8529395804613,0.821
epsilon-greedy,"zero-init, constant eps=0.01",10037,73.68773391572279,0.9555
epsilon-greedy,"zero-init, constant eps=0.01",10038,467.5803011138687,0.7695
epsilon-greedy,"zero-init, constant eps=0.01",10039,180.61263766746774,0.9085
epsilon-greedy,"zero-init, constant eps=0.01",10040,450.0553069090168,0.7755
epsilon-greedy,"zero-init, constant eps=0.01",10041,572.4847411196043,0.689
epsilon-greedy,"zero-init, constant eps=0.01",10042,99.78788470840757,0.947
epsilon-greedy,"zero-init, constant eps=0.01",10043,266.01976292780205,0.8655
epsilon-greedy,"zero-init, constant eps=0.01",10044,162.950994915302,0.916
epsilon-greedy,"zero-init, constant eps=0.01",10045,204.98534212932478,0.894
epsilon-greedy,"zero-init, constant eps=0.01",10046,95.7595075588109,0.947
epsilon-greedy,"zero-init, constant eps=0.01",10047,695.268827608192,0.633
epsilon-greedy,"zero-init, constant eps=0.01",10048,210.21867464887598,0.8995
epsilon-greedy,"zero-init, constant eps=0.01",10049,14.256302334326978,0.9885
epsilon-greedy,"zero-init, constant eps=0.01",10050,150.72174522078626,0.929
epsilon-greedy,"zero-init, constant eps=0.01",10051,71.22879058318021,0.925
epsilon-greedy,"zero-init, constant eps=0.01",10052,117.87545425735058,0.92
epsilon-greedy,"zero-init, constant eps=0.01",10053,285.2319186486811,0.852
epsilon-greedy,"zero-init, constant eps=0.01",10054,143.6649106074693,0.928
epsilon-greedy,"zero-init, constant eps=0.01",10055,765.4422547319607,0.617
epsilon-greedy,"zero-init, constant eps=0.01",10056,33.385601884210836,0.9815
epsilon-greedy,"zero-init, constant eps=0.01",10057,435.7318165702973,0.7795
epsilon-greedy,"zero-init, constant eps=0.01",10058,161.1313049310598,0.9105
epsilon-greedy,"zero-init, constant eps=0.01",10059,311.5952672915215,0.837
epsilon-greedy,"zero-init, constant eps=0.01",10060,130.52073828926584,0.891
epsilon-greedy,"zero-init, constant eps=0.01",10061,242.23979006566705,0.87
epsilon-greedy,"zero-init, constant eps=0.01",10062,101.46727103104935,0.942
epsilon-greedy,"zero-init, constant eps=0.01",10063,165.9517648247218,0.892
epsilon-greedy,"zero-init, constant eps=0.01",10064,351.8461640557423,0.8225
epsilon-greedy,"zero-init, constant eps=0.01",10065,434.45833411402197,0.79
epsilon-greedy,"zero-init, constant eps=0.01",10066,263.57980042121255,0.861
epsilon-greedy,"zero-init, constant eps=0.01",10067,385.06453430903815,0.815
epsilon-greedy,"zero-init, constant eps=0.01",10068,74.40230664812779,0.9125
epsilon-greedy,"zero-init, constant eps=0.01",10069,194.03912943087985,0.8895
epsilon-greedy,"zero-init, constant eps=0.01",10070,469.4983238482129,0.758
epsilon-greedy,"zero-init, constant eps=0.01",10071,387.4276707402324,0.7765
epsilon-greedy,"zero-init, constant eps=0.01",10072,30.633629077475078,0.983
epsilon-greedy,"zero-init, constant eps=0.01",10073,522.2915302841735,0.7355
epsilon-greedy,"zero-init, constant eps=0.01",10074,518.5573021939356,0.728
epsilon-greedy,"zero-init, constant eps=0.01",10075,351.19794038415495,0.8075
epsilon-greedy,"zero-init, constant eps=0.01",10076,297.00900186186476,0.8505
epsilon-greedy,"zero-init, constant eps=0.01",10077,215.86854655143077,0.9025
epsilon-greedy,"zero-init, constant eps=0.01",10078,238.48473566694014,0.8855
epsilon-greedy,"zero-init, constant eps=0.01",10079,662.109045188872,0.6625
epsilon-greedy,"zero-init, constant eps=0.01",10080,301.1049092039082,0.827
epsilon-greedy,"zero-init, constant eps=0.01",10081,127.97361486863323,0.939
epsilon-greedy,"zero-init, constant eps=0.01",10082,153.07091421043793,0.9285
epsilon-greedy,"zero-init, constant eps=0.01",10083,122.41838579581426,0.9295
epsilon-greedy,"zero-init, constant eps=0.01",10084,702.9847777858819,0.6425
epsilon-greedy,"zero-init, constant eps=0.01",10085,244.83423154954707,0.8575
epsilon-greedy,"zero-init, constant eps=0.01",10086,297.17901232878637,0.8485
epsilon-greedy,"zero-init, constant eps=0.01",10087,600.6526645899173,0.676
epsilon-greedy,"zero-init, constant eps=0.01",10088,15.603316969398925,0.9665
epsilon-greedy,"zero-init, constant eps=0.01",10089,15.20914024843232,0.989
epsilon-greedy,"zero-init, constant eps=0.01",10090,47.44220943022435,0.968
epsilon-greedy,"zero-init, constant eps=0.01",10091,208.35024750405304,0.8795
epsilon-greedy,"zero-init, constant eps=0.01",10092,117.12187909083092,0.9175
epsilon-greedy,"zero-init, constant eps=0.01",10093,220.99667355270992,0.876
epsilon-greedy,"zero-init, constant eps=0.01",10094,131.79296929805295,0.9265
epsilon-greedy,"zero-init, constant eps=0.01",10095,350.1075901242945,0.8025
epsilon-greedy,"zero-init, constant eps=0.01",10096,229.73579929402612,0.876
epsilon-greedy,"zero-init, constant eps=0.01",10097,410.03259164247504,0.794
epsilon-greedy,"zero-init, constant eps=0.01",10098,279.9913233385414,0.856
epsilon-greedy,"zero-init, constant eps=0.01",10099,45.43379488928088,0.968
epsilon-greedy,"zero-init, constant eps=0.03",10000,67.02028474279206,0.958
epsilon-greedy,"zero-init, constant eps=0.03",10001,124.79767026368499,0.933
epsilon-greedy,"zero-init, constant eps=0.03",10002,281.4093337813493,0.847
epsilon-greedy,"zero-init, constant eps=0.03",10003,106.29660872976723,0.94
epsilon-greedy,"zero-init, constant eps=0.03",10004,133.9716843728036,0.8915
epsilon-greedy,"zero-init, constant eps=0.03",10005,323.55907918089343,0.838
epsilon-greedy,"zero-init, constant eps=0.03",10006,103.13979033201453,0.954
epsilon-greedy,"zero-init, constant eps=0.03",10007,201.0463631826939,0.891
epsilon-greedy,"zero-init, constant eps=0.03",10008,84.17737092805737,0.928
epsilon-greedy,"zero-init, constant eps=0.03",10009,141.4487888821787,0.9035
epsilon-greedy,"zero-init, constant eps=0.03",10010,79.69200486201093,0.9595
epsilon-greedy,"zero-init, constant eps=0.03",10011,159.93703881493178,0.922
epsilon-greedy,"zero-init, constant eps=0.03",10012,56.16599150326075,0.9665
epsilon-greedy,"zero-init, constant eps=0.03",10013,94.42101956094353,0.952
epsilon-greedy,"zero-init, constant eps=0.03",10014,49.645700370717265,0.968
epsilon-greedy,"zero-init, constant eps=0.03",10015,247.99582541529907,0.851
epsilon-greedy,"zero-init, constant eps=0.03",10016,254.34824213703752,0.86
epsilon-greedy,"zero-init, constant eps=0.03",10017,236.6538075290275,0.8715
epsilon-greedy,"zero-init, constant eps=0.03",10018,448.2921478466524,0.7785
epsilon-greedy,"zero-init, constant eps=0.03",10019,139.36620906953019,0.921
epsilon-greedy,"zero-init, constant eps=0.03",10020,97.94398988947525,0.9405
epsilon-greedy,"zero-init, constant eps=0.03",10021,89.21611939823723,0.9495
epsilon-greedy,"zero-init, constant eps=0.03",10022,172.96321289573277,0.8945
epsilon-greedy,"zero-init, constant eps=0.03",10023,151.17799967312754,0.9205
epsilon-greedy,"zero-init, constant eps=0.03",10024,46.22780772478447,0.963
epsilon-greedy,"zero-init, constant eps=0.03",10025,259.97596918096923,0.878
epsilon-greedy,"zero-init, constant eps=0.03",10026,134.36113703697748,0.926
epsilon-greedy,"zero-init, constant eps=0.03",10027,350.76160984756916,0.8405
