family,variant,environment_seed,total_regret,final_reward
epsilon-greedy,"zero-init, constant eps=0.01",0,114.47530047705222,0.941
epsilon-greedy,"zero-init, constant eps=0.01",1,52.403098748615065,0.946
epsilon-greedy,"zero-init, constant eps=0.01",2,106.03011874476601,0.9395
epsilon-greedy,"zero-init, constant eps=0.01",3,483.32495889723646,0.7215
epsilon-greedy,"zero-init, constant eps=0.01",4,117.77702389264726,0.9295
epsilon-greedy,"zero-init, constant eps=0.01",5,132.0452281842931,0.933
epsilon-greedy,"zero-init, constant eps=0.01",6,179.22751574623524,0.9045
epsilon-greedy,"zero-init, constant eps=0.01",7,108.41767605487503,0.938
epsilon-greedy,"zero-init, constant eps=0.01",8,209.96266248243097,0.876
epsilon-greedy,"zero-init, constant eps=0.01",9,37.14895307003968,0.971
epsilon-greedy,"zero-init, constant eps=0.01",10,591.612766045433,0.674
epsilon-greedy,"zero-init, constant eps=0.01",11,156.84704287828546,0.917
epsilon-greedy,"zero-init, constant eps=0.01",12,59.92003111311986,0.928
epsilon-greedy,"zero-init, constant eps=0.01",13,114.90303217036168,0.938
epsilon-greedy,"zero-init, constant eps=0.01",14,167.54527621811712,0.917
epsilon-greedy,"zero-init, constant eps=0.01",15,25.650175714954962,0.9875
epsilon-greedy,"zero-init, constant eps=0.01",16,217.78214703385672,0.879
epsilon-greedy,"zero-init, constant eps=0.01",17,846.8628254545362,0.5685
epsilon-greedy,"zero-init, constant eps=0.01",18,105.72058255322531,0.938
epsilon-greedy,"zero-init, constant eps=0.01",19,410.88004090103794,0.791
epsilon-greedy,"zero-init, constant eps=0.01",20,54.03473199634433,0.9725
epsilon-greedy,"zero-init, constant eps=0.01",21,241.94963436788075,0.8725
epsilon-greedy,"zero-init, constant eps=0.01",22,287.1299115063883,0.851
epsilon-greedy,"zero-init, constant eps=0.01",23,26.19044575157285,0.9835
epsilon-greedy,"zero-init, constant eps=0.01",24,167.51971637465618,0.897
epsilon-greedy,"zero-init, constant eps=0.01",25,164.0303527707186,0.898
epsilon-greedy,"zero-init, constant eps=0.01",26,117.80163176465597,0.94
epsilon-greedy,"zero-init, constant eps=0.01",27,140.97635450455485,0.9125
epsilon-greedy,"zero-init, constant eps=0.01",28,39.33094685884524,0.979
epsilon-greedy,"zero-init, constant eps=0.01",29,243.59085555072974,0.874
epsilon-greedy,"zero-init, constant eps=0.01",30,326.7121768350446,0.849
epsilon-greedy,"zero-init, constant eps=0.01",31,205.78443144055316,0.898
epsilon-greedy,"zero-init, constant eps=0.01",32,133.30117151982338,0.923
epsilon-greedy,"zero-init, constant eps=0.01",33,217.73378820844957,0.886
epsilon-greedy,"zero-init, constant eps=0.01",34,54.84448364024559,0.969
epsilon-greedy,"zero-init, constant eps=0.01",35,106.26098123564581,0.9515
epsilon-greedy,"zero-init, constant eps=0.01",36,139.78643451722968,0.8915
epsilon-greedy,"zero-init, constant eps=0.01",37,494.0841555821462,0.755
epsilon-greedy,"zero-init, constant eps=0.01",38,71.17762426753393,0.952
epsilon-greedy,"zero-init, constant eps=0.01",39,510.508999925381,0.7295
epsilon-greedy,"zero-init, constant eps=0.01",40,533.1223589862846,0.7215
epsilon-greedy,"zero-init, constant eps=0.01",41,339.4530818410433,0.8215
epsilon-greedy,"zero-init, constant eps=0.01",42,428.44759352161685,0.764
epsilon-greedy,"zero-init, constant eps=0.01",43,191.9706860054078,0.896
epsilon-greedy,"zero-init, constant eps=0.01",44,90.19200915613122,0.949
epsilon-greedy,"zero-init, constant eps=0.01",45,101.45242262411504,0.949
epsilon-greedy,"zero-init, constant eps=0.01",46,639.8628497908188,0.67
epsilon-greedy,"zero-init, constant eps=0.01",47,283.40188115820837,0.841
epsilon-greedy,"zero-init, constant eps=0.01",48,240.1027092802539,0.876
epsilon-greedy,"zero-init, constant eps=0.01",49,67.24358891969023,0.965
epsilon-greedy,"zero-init, constant eps=0.01",50,29.036419027868842,0.9735
epsilon-greedy,"zero-init, constant eps=0.01",51,281.79160848224336,0.855
epsilon-greedy,"zero-init, constant eps=0.01",52,548.7653900424674,0.73
epsilon-greedy,"zero-init, constant eps=0.01",53,94.05235234576666,0.95
epsilon-greedy,"zero-init, constant eps=0.01",54,294.8968325926001,0.834
epsilon-greedy,"zero-init, constant eps=0.01",55,368.372771794632,0.816
epsilon-greedy,"zero-init, constant eps=0.01",56,84.04505227104485,0.95
epsilon-greedy,"zero-init, constant eps=0.01",57,316.86567836714835,0.8165
epsilon-greedy,"zero-init, constant eps=0.01",58,76.89385859745705,0.96
epsilon-greedy,"zero-init, constant eps=0.01",59,316.98709347158893,0.8395
epsilon-greedy,"zero-init, constant eps=0.01",60,101.00405674085373,0.948
epsilon-greedy,"zero-init, constant eps=0.01",61,130.80913426490707,0.9375
epsilon-greedy,"zero-init, constant eps=0.01",62,14.458848340609798,0.955
epsilon-greedy,"zero-init, constant eps=0.01",63,54.886746019952305,0.966
epsilon-greedy,"zero-init, constant eps=0.01",64,235.87510666474284,0.875
epsilon-greedy,"zero-init, constant eps=0.01",65,132.08518655247215,0.933
epsilon-greedy,"zero-init, constant eps=0.01",66,97.88346250708437,0.9355
epsilon-greedy,"zero-init, constant eps=0.01",67,202.73226484614426,0.883
epsilon-greedy,"zero-init, constant eps=0.01",68,931.980424760764,0.5275
epsilon-greedy,"zero-init, constant eps=0.01",69,204.71253244638442,0.8975
