tuning_rank,family,variant,avg_reward,std_reward,total_regret,std_regret
1,UCB(c),c=0.003,0.939595,0.0138516116919529,101.21686228403718,12.577211513165128
2,UCB(c),c=0.01,0.9396000000000002,0.013972194610089783,101.26531381316669,12.780483311146108
3,UCB(c),c=0.03,0.93942,0.01363720401450873,101.55152452783105,12.945163782362066
4,UCB(c),c=0.001,0.9394400000000002,0.01377878621268758,101.6114065689564,12.834349352625688
5,UCB(c),c=0.05,0.93944,0.013387065972554823,101.66362141208181,11.976990513725838
6,UCB(c),c=0.075,0.939245,0.012774757108920662,102.22727900540708,10.608046242367681
7,epsilon-greedy,"optimistic, decay=0.9",0.938615,0.016111959138252772,103.4867226299881,19.617588795210338
8,epsilon-greedy,"optimistic, decay=0.95",0.9384399999999999,0.01516280003991693,104.11727745456406,20.044672526529315
9,UCB(c),c=0.1,0.937785,0.012352208120597112,105.089712137911,10.449161641464853
10,epsilon-greedy,"optimistic, decay=0.99",0.9372300000000001,0.015745998369314798,106.77150405726738,17.94894810529683
11,epsilon-greedy,"optimistic, constant eps=0.01",0.934275,0.014220730173470926,112.54909784218295,16.541705502891354
12,epsilon-greedy,"zero-init, decay=0.999",0.9322600000000001,0.02911588479635725,116.05981732268675,52.762628558314994
13,Thompson sampling,"Beta(5,5)",0.9308700000000001,0.02369690982709634,119.01811983887323,38.83379272884599
14,Thompson sampling,"Beta(2,2)",0.9288199999999999,0.021843048960225032,123.61404628854388,30.36989146403968
15,epsilon-greedy,"optimistic, constant eps=0.03",0.9251249999999998,0.014792568261041621,130.00384507326217,16.325639028040484
16,UCB(c),c=0.2,0.92448,0.0112197787118746,132.1113265988902,12.983146151041266
17,Thompson sampling,"Beta(1,1)",0.92179,0.024733956130360255,135.82526701862096,32.16731216000524
18,epsilon-greedy,"optimistic, decay=0.999",0.9200499999999998,0.014118277429479766,139.17154291797638,16.013071855795197
19,Thompson sampling,"Beta(10,10)",0.9144450000000001,0.030587834694746394,151.70269627045428,56.936590690510926
20,epsilon-greedy,"zero-init, constant eps=0.03",0.9130799999999999,0.045349302000352684,152.6201721988857,85.30587017488735
21,Thompson sampling,"Beta(0.5,0.5)",0.9131900000000001,0.028137898164776156,154.82989032996483,37.89419388983124
22,Thompson sampling,"Beta(0.25,0.25)",0.9092100000000001,0.02785289459596143,161.38257212661614,37.87396572351503
23,epsilon-greedy,"zero-init, decay=0.9999",0.908125,0.01908425960435628,164.2262841718728,32.06372973568448
24,epsilon-greedy,"zero-init, decay=0.99999",0.9056200000000001,0.017529357770277386,170.47837708092035,30.422312390921768
25,epsilon-greedy,"zero-init, constant eps=0.1",0.9042800000000001,0.018815735946061736,171.94418342469072,32.85368852707901
26,epsilon-greedy,"optimistic, decay=0.9999",0.898235,0.01383442036619847,183.83193728534522,15.250055988651624
27,epsilon-greedy,"zero-init, decay=0.99",0.8941500000000001,0.10433131230494865,191.26653258383936,206.6292463322322
28,epsilon-greedy,"optimistic, decay=0.99999",0.8933999999999999,0.014436555732380956,192.27370710712196,15.857280936674373
29,epsilon-greedy,"optimistic, constant eps=0.1",0.89306,0.013801859046205086,193.30151166569647,16.008061406461575
30,epsilon-greedy,"zero-init, constant eps=0.01",0.8765199999999999,0.09184709295807071,226.29169527276812,179.60343887112194
31,UCB(c),c=0.5,0.8346750000000001,0.013932625580110719,310.8608510815541,23.543889187207412
32,epsilon-greedy,"zero-init, constant eps=0.3",0.816595,0.013113277834147922,345.55999911113594,22.28317497042537
33,epsilon-greedy,"optimistic, constant eps=0.3",0.8031500000000001,0.015392097539538482,374.12256814041,24.485360028614636
34,epsilon-greedy,"zero-init, decay=0.95",0.7731299999999999,0.20653427602148067,431.66705521484306,411.85878831948247
35,epsilon-greedy,"zero-init, decay=0.9",0.74349,0.21395559083250162,491.8583593340143,427.40337326232645
36,UCB(c),c=sqrt(2),0.668955,0.023452735082038573,642.689202442704,44.80360491099124
