suite,algorithm,environment_seed,final_avg_reward,total_regret
uniform,epsgreedy const,30000,0.8645,212.40506833393562
uniform,epsgreedy const,30001,0.911,146.61274006227262
uniform,epsgreedy const,30002,0.8925,202.46723512400595
uniform,epsgreedy const,30003,0.921,150.59469930498167
uniform,epsgreedy const,30004,0.889,174.73397552282123
uniform,epsgreedy const,30005,0.8825,237.52836510443203
uniform,epsgreedy const,30006,0.9275,140.76007745160862
uniform,epsgreedy const,30007,0.897,198.84958907347357
uniform,epsgreedy const,30008,0.917,141.66156546344203
uniform,epsgreedy const,30009,0.9235,135.40364919695654
uniform,epsgreedy const,30010,0.903,170.79414680717375
uniform,epsgreedy const,30011,0.9155,167.45091761949348
uniform,epsgreedy const,30012,0.867,254.50569986023646
uniform,epsgreedy const,30013,0.882,234.04233999354997
uniform,epsgreedy const,30014,0.9035,152.11099965401047
uniform,epsgreedy const,30015,0.902,169.5973270514052
uniform,epsgreedy const,30016,0.9225,149.6902611040318
uniform,epsgreedy const,30017,0.9145,141.1757281813351
uniform,epsgreedy const,30018,0.8335,296.46323731183196
uniform,epsgreedy const,30019,0.898,201.85639097887432
uniform,epsgreedy const,30020,0.913,177.67078816071992
uniform,epsgreedy const,30021,0.9055,163.44418290612674
uniform,epsgreedy const,30022,0.916,157.53342706373516
uniform,epsgreedy const,30023,0.823,321.603545174529
uniform,epsgreedy const,30024,0.9175,154.6237137925232
uniform,epsgreedy const,30025,0.9315,152.12988115840753
uniform,epsgreedy const,30026,0.888,219.7522881313301
uniform,epsgreedy const,30027,0.899,191.83636336250902
uniform,epsgreedy const,30028,0.9055,148.67520339105437
uniform,epsgreedy const,30029,0.8875,162.72057796000175
uniform,epsgreedy optimistic decay=0.90,30000,0.869,216.25629451211364
uniform,epsgreedy optimistic decay=0.90,30001,0.918,127.20629658919394
uniform,epsgreedy optimistic decay=0.90,30002,0.9395,114.82210697858534
uniform,epsgreedy optimistic decay=0.90,30003,0.948,91.61470725711528
uniform,epsgreedy optimistic decay=0.90,30004,0.923,108.60230446634044
uniform,epsgreedy optimistic decay=0.90,30005,0.9505,100.85208407554123
uniform,epsgreedy optimistic decay=0.90,30006,0.949,97.43228074404276
uniform,epsgreedy optimistic decay=0.90,30007,0.9455,97.4919843914481
uniform,epsgreedy optimistic decay=0.90,30008,0.9465,89.73592524740057
uniform,epsgreedy optimistic decay=0.90,30009,0.9505,100.27491707969679
uniform,epsgreedy optimistic decay=0.90,30010,0.9285,101.20030879916052
uniform,epsgreedy optimistic decay=0.90,30011,0.9505,92.73756203961916
uniform,epsgreedy optimistic decay=0.90,30012,0.9455,87.20143700966455
uniform,epsgreedy optimistic decay=0.90,30013,0.9505,98.21622362898096
uniform,epsgreedy optimistic decay=0.90,30014,0.941,88.1549172639619
uniform,epsgreedy optimistic decay=0.90,30015,0.9385,95.01830875071762
uniform,epsgreedy optimistic decay=0.90,30016,0.9475,99.54360727457633
uniform,epsgreedy optimistic decay=0.90,30017,0.938,84.34534443783271
uniform,epsgreedy optimistic decay=0.90,30018,0.928,83.04635797971251
uniform,epsgreedy optimistic decay=0.90,30019,0.9485,99.5567785991816
uniform,epsgreedy optimistic decay=0.90,30020,0.9505,102.39280969139516
uniform,epsgreedy optimistic decay=0.90,30021,0.9425,86.30341453452897
uniform,epsgreedy optimistic decay=0.90,30022,0.948,97.34100412494253
uniform,epsgreedy optimistic decay=0.90,30023,0.9375,94.26677675452693
uniform,epsgreedy optimistic decay=0.90,30024,0.9435,99.98172838626857
uniform,epsgreedy optimistic decay=0.90,30025,0.9505,110.60650953560007
uniform,epsgreedy optimistic decay=0.90,30026,0.949,88.93229771427404
uniform,epsgreedy optimistic decay=0.90,30027,0.945,99.58452617853159
uniform,epsgreedy optimistic decay=0.90,30028,0.936,91.95042680748719
uniform,epsgreedy optimistic decay=0.90,30029,0.9025,123.67394809565721
uniform,"thompson Beta(5,5)",30000,0.9165,132.25912896455347
uniform,"thompson Beta(5,5)",30001,0.882,189.1406929784685
uniform,"thompson Beta(5,5)",30002,0.8955,191.39640107489294
uniform,"thompson Beta(5,5)",30003,0.953,91.16565064199767
uniform,"thompson Beta(5,5)",30004,0.898,175.64884400754286
uniform,"thompson Beta(5,5)",30005,0.9285,151.40853556407143
uniform,"thompson Beta(5,5)",30006,0.9235,150.4248450648873
uniform,"thompson Beta(5,5)",30007,0.945,101.38471845700596
uniform,"thompson Beta(5,5)",30008,0.941,101.28105288787864
uniform,"thompson Beta(5,5)",30009,0.932,136.4957687675542
uniform,"thompson Beta(5,5)",30010,0.954,56.718367007585016
uniform,"thompson Beta(5,5)",30011,0.9475,95.40347064398284
uniform,"thompson Beta(5,5)",30012,0.8995,173.0362142492532
uniform,"thompson Beta(5,5)",30013,0.894,222.57647939649885
uniform,"thompson Beta(5,5)",30014,0.889,187.44641909206123
uniform,"thompson Beta(5,5)",30015,0.916,140.48796002614873
uniform,"thompson Beta(5,5)",30016,0.94,111.64302383690311
uniform,"thompson Beta(5,5)",30017,0.943,78.78205811075402
uniform,"thompson Beta(5,5)",30018,0.945,55.49537739255212
uniform,"thompson Beta(5,5)",30019,0.9085,170.58563023634392
uniform,"thompson Beta(5,5)",30020,0.9305,138.7373615058193
uniform,"thompson Beta(5,5)",30021,0.9345,103.05409998393293
uniform,"thompson Beta(5,5)",30022,0.9345,127.61947084091543
uniform,"thompson Beta(5,5)",30023,0.9185,127.28329661445625
uniform,"thompson Beta(5,5)",30024,0.9645,68.60142526251825
uniform,"thompson Beta(5,5)",30025,0.934,126.35858898746108
uniform,"thompson Beta(5,5)",30026,0.95,98.94492904145132
uniform,"thompson Beta(5,5)",30027,0.9475,103.47609857604357
uniform,"thompson Beta(5,5)",30028,0.925,118.02638971889066
uniform,"thompson Beta(5,5)",30029,0.897,133.91070835194438
uniform,ucb(c=0.003),30000,0.93,88.6512200475056
uniform,ucb(c=0.003),30001,0.932,94.51267732239079
uniform,ucb(c=0.003),30002,0.939,105.09952636618567
uniform,ucb(c=0.003),30003,0.9465,103.4051026501214
uniform,ucb(c=0.003),30004,0.9,150.62395503101231
uniform,ucb(c=0.003),30005,0.9505,104.02657160388247
uniform,ucb(c=0.003),30006,0.949,99.38294126052132
uniform,ucb(c=0.003),30007,0.946,96.7086463684365
uniform,ucb(c=0.003),30008,0.9465,86.01677700234656
uniform,ucb(c=0.003),30009,0.9505,98.03868097531617
