suite,algorithm,avg_reward,std_reward,total_regret,std_regret
uniform,epsgreedy const,0.8984500000000002,0.025376934273143564,184.28979947669362,46.60811221832961
uniform,epsgreedy optimistic decay=0.90,0.9387000000000001,0.017322299759717736,102.27810629826995,23.922236761992412
uniform,"thompson Beta(5,5)",0.92625,0.022239584931626626,128.62643357614564,41.66868456700527
uniform,ucb(c=0.003),0.94125,0.011112861452172081,96.90347537879117,12.458526601058342
small-gap,epsgreedy const,0.5015833333333333,0.00942491501226965,27.470336782002143,3.8783971815712506
small-gap,epsgreedy optimistic decay=0.90,0.5014333333333333,0.01064532707368576,27.181925761311213,6.386074909246128
small-gap,"thompson Beta(5,5)",0.5006666666666667,0.009940628348048378,29.154492599000687,1.5621693971042196
small-gap,ucb(c=0.003),0.50095,0.010900292624986948,27.533834888524552,7.115558373691416
clustered,epsgreedy const,0.7076499999999999,0.021952201209241733,179.24494437970753,41.60895464776911
clustered,epsgreedy optimistic decay=0.90,0.7373833333333333,0.019078189087294806,120.85094479444248,28.361792555068952
clustered,"thompson Beta(5,5)",0.6645333333333332,0.02354377190261363,265.7068536593384,35.759524559822175
clustered,ucb(c=0.003),0.7416166666666666,0.01850334701006043,112.12255186213095,31.769602784763173
rare-good,epsgreedy const,0.5404166666666668,0.1642746377539619,521.9781796872484,329.9661223358899
rare-good,epsgreedy optimistic decay=0.90,0.6438333333333333,0.21240703172549816,314.1233149418135,422.58015978500805
rare-good,"thompson Beta(5,5)",0.6367499999999999,0.029925986285708518,327.23763670354543,52.92285845975734
rare-good,ucb(c=0.003),0.6924833333333332,0.1709771855789706,217.07300655106107,344.9288546034011
